daerah,vote_jokowi,vote_prabowo,kategori
SUMBAWA BARAT,29658,49220,KABUPATEN/KOTA
NUSA TENGGARA TIMUR,2362041,305615,PROVINSI
ALOR,85039,29185,KABUPATEN/KOTA
BELU,81645,17333,KABUPATEN/KOTA
ENDE,114267,32250,KABUPATEN/KOTA
FLORES TIMUR,109779,21537,KABUPATEN/KOTA
KOTA KUPANG,175697,22614,KABUPATEN/KOTA
KUPANG,161312,15771,KABUPATEN/KOTA
LEMBATA,54082,12985,KABUPATEN/KOTA
MALAKA,80772,9282,KABUPATEN/KOTA
MANGGARAI,148741,14090,KABUPATEN/KOTA
MANGGARAI BARAT,111717,23984,KABUPATEN/KOTA
MANGGARAI TIMUR,132218,16250,KABUPATEN/KOTA
NAGEKEO,72220,6800,KABUPATEN/KOTA
NGADA,76552,7323,KABUPATEN/KOTA
ROTE NDAO,63937,5325,KABUPATEN/KOTA
SABU RAIJUA,39001,1945,KABUPATEN/KOTA
SIKKA,151863,17088,KABUPATEN/KOTA
SUMBA BARAT,54172,5051,KABUPATEN/KOTA
SUMBA BARAT DAYA,163936,7371,KABUPATEN/KOTA
SUMBA TENGAH,34895,3115,KABUPATEN/KOTA
SUMBA TIMUR,119364,10727,KABUPATEN/KOTA
TIMOR TENGAH SELATAN,212969,14220,KABUPATEN/KOTA
TIMOR TENGAH UTARA,117863,11369,KABUPATEN/KOTA
KALIMANTAN BARAT,1707147,1260600,PROVINSI
BENGKAYANG,107311,30352,KABUPATEN/KOTA
KAPUAS HULU,89606,59967,KABUPATEN/KOTA
KAYONG UTARA,25527,38467,KABUPATEN/KOTA
KETAPANG,165417,124120,KABUPATEN/KOTA
KOTA PONTIANAK,132252,234378,KABUPATEN/KOTA
KOTA SINGKAWANG,64356,50212,KABUPATEN/KOTA
KUBU RAYA,121318,217784,KABUPATEN/KOTA
LANDAK,212790,33772,KABUPATEN/KOTA
MELAWI,81462,64635,KABUPATEN/KOTA
MEMPAWAH,54941,98271,KABUPATEN/KOTA
SAMBAS,167749,135383,KABUPATEN/KOTA
SANGGAU,202483,66512,KABUPATEN/KOTA
SEKADAU,91433,36596,KABUPATEN/KOTA
SINTANG,190502,70151,KABUPATEN/KOTA
KALIMANTAN TENGAH,828596,536213,PROVINSI
BARITO SELATAN,44002,33412,KABUPATEN/KOTA
BARITO TIMUR,43148,23952,KABUPATEN/KOTA
BARITO UTARA,46180,31428,KABUPATEN/KOTA
GUNUNG MAS,54293,9089,KABUPATEN/KOTA
KAPUAS,94776,98985,KABUPATEN/KOTA
KATINGAN,66832,21280,KABUPATEN/KOTA
KOTA PALANGKARAYA,88739,61007,KABUPATEN/KOTA
KOTAWARINGIN BARAT,79039,61271,KABUPATEN/KOTA
KOTAWARINGIN TIMUR,113985,93623,KABUPATEN/KOTA
LAMANDAU,38051,10601,KABUPATEN/KOTA
MURUNG RAYA,33518,29967,KABUPATEN/KOTA
PULANG PISAU,49580,26006,KABUPATEN/KOTA
SERUYAN,54438,24401,KABUPATEN/KOTA
SUKAMARA,22015,11191,KABUPATEN/KOTA
KALIMANTAN SELATAN,823219,1467906,PROVINSI
BALANGAN,21466,54441,KABUPATEN/KOTA
BANJAR,102150,216477,KABUPATEN/KOTA
BARITO KUALA,65955,109147,KABUPATEN/KOTA
HULU SUNGAI SELATAN,36579,95727,KABUPATEN/KOTA
HULU SUNGAI TENGAH,29844,126159,KABUPATEN/KOTA
HULU SUNGAI UTARA,34487,93906,KABUPATEN/KOTA
KOTA BANJARBARU,57078,74929,KABUPATEN/KOTA
KOTA BANJARMASIN,130419,229734,KABUPATEN/KOTA
KOTABARU,91218,79961,KABUPATEN/KOTA
TABALONG,44232,100566,KABUPATEN/KOTA
TANAH BUMBU,91192,94564,KABUPATEN/KOTA
TANAH LAUT,87881,106914,KABUPATEN/KOTA
TAPIN,30718,85381,KABUPATEN/KOTA
KALIMANTAN TIMUR,1093148,870043,PROVINSI
BERAU,78128,49086,KABUPATEN/KOTA
KOTA BALIKPAPAN,199541,165432,KABUPATEN/KOTA
KOTA BONTANG,53707,44943,KABUPATEN/KOTA
KOTA SAMARINDA,208704,231131,KABUPATEN/KOTA
KUTAI BARAT,73836,17255,KABUPATEN/KOTA
KUTAI KARTANEGARA,214586,172658,KABUPATEN/KOTA
KUTAI TIMUR,124899,61875,KABUPATEN/KOTA
MAHAKAM ULU,15886,2663,KABUPATEN/KOTA
PASER,68350,81412,KABUPATEN/KOTA
PENAJAM PASER UTARA,55511,43588,KABUPATEN/KOTA
SULAWESI UTARA,1218303,359131,PROVINSI
BOLAANG MONGONDOW,85007,62826,KABUPATEN/KOTA
BOLAANG MONGONDOW SELATAN,17495,24879,KABUPATEN/KOTA
BOLAANG MONGONDOW TIMUR,24030,24650,KABUPATEN/KOTA
BOLAANG MONGONDOW UTARA,25710,24652,KABUPATEN/KOTA
KEPULAUAN SANGIHE,70504,15744,KABUPATEN/KOTA
KEPULAUAN SIAU TAGULANDANG BIARO,38255,7100,KABUPATEN/KOTA
KEPULAUAN TALAUD,52558,5207,KABUPATEN/KOTA
KOTA BITUNG,97896,21283,KABUPATEN/KOTA
KOTA KOTAMOBAGU,28846,43848,KABUPATEN/KOTA
KOTA MANADO,213963,52032,KABUPATEN/KOTA
KOTA TOMOHON,59879,5365,KABUPATEN/KOTA
MINAHASA,198803,22337,KABUPATEN/KOTA
MINAHASA SELATAN,128882,16925,KABUPATEN/KOTA
MINAHASA TENGGARA,62497,13294,KABUPATEN/KOTA
MINAHASA UTARA,113978,18989,KABUPATEN/KOTA
SULAWESI TENGAH,913753,705310,PROVINSI
BANGGAI,126551,76903,KABUPATEN/KOTA
BANGGAI KEPULAUAN,38739,30732,KABUPATEN/KOTA
BANGGAI LAUT,19409,20526,KABUPATEN/KOTA
BUOL,40555,41938,KABUPATEN/KOTA
DONGGALA,99602,64381,KABUPATEN/KOTA
KOTA PALU,76889,103539,KABUPATEN/KOTA
MOROWALI,31857,47965,KABUPATEN/KOTA
MOROWALI UTARA,49256,19421,KABUPATEN/KOTA
PARIGI MOUTONG,144794,96704,KABUPATEN/KOTA
POSO,96643,33378,KABUPATEN/KOTA
SIGI,79217,62059,KABUPATEN/KOTA
TOJO UNA-UNA,43916,48737,KABUPATEN/KOTA
TOLITOLI,66325,59027,KABUPATEN/KOTA
SULAWESI SELATAN,2117839,2807109,PROVINSI
BANTAENG,30137,80248,KABUPATEN/KOTA
BARRU,50102,55685,KABUPATEN/KOTA
BONE,238497,189272,KABUPATEN/KOTA
BULUKUMBA,79423,159552,KABUPATEN/KOTA
ENREKANG,30914,96906,KABUPATEN/KOTA
GOWA,152680,264054,KABUPATEN/KOTA
JENEPONTO,46063,168477,KABUPATEN/KOTA
KEPULAUAN SELAYAR,34375,42220,KABUPATEN/KOTA
KOTA MAKASSAR,304926,417167,KABUPATEN/KOTA
KOTA PALOPO,35909,57303,KABUPATEN/KOTA
KOTA PARE PARE,39238,44684,KABUPATEN/KOTA
LUWU,67939,147470,KABUPATEN/KOTA
LUWU TIMUR,72000,82702,KABUPATEN/KOTA
LUWU UTARA,70939,107787,KABUPATEN/KOTA
MAROS,79315,126654,KABUPATEN/KOTA
