daerah,jokowi,prabowo
SIDOARJO,816047,349739
SITUBONDO,202721,203949
SUMENEP,242835,436379
TRENGGALEK,351836,104756
TUBAN,532824,195783
TULUNGAGUNG,540169,120057
BANTEN,2530608,4045338
KOTA CILEGON,76408,177376
KOTA SERANG,116045,264883
KOTA TANGERANG,464468,561977
KOTA TANGERANG SELATAN,410261,389123
LEBAK,260262,489269
PANDEGLANG,262599,442282
SERANG,273296,646642
TANGERANG,667269,1073786
BALI,2342628,212586
BADUNG,310859,23277
BANGLI,149145,8926
BULELENG,383343,46089
GIANYAR,317623,12618
JEMBRANA,151956,33363
KARANGASEM,273709,20494
KLUNGKUNG,118154,10485
KOTA DENPASAR,336312,39319
TABANAN,301527,18015
NUSA TENGGARA BARAT,950480,2009305
BIMA,43626,239782
DOMPU,37869,104240
KOTA BIMA,15637,75673
KOTA MATARAM,91399,155968
LOMBOK BARAT,106509,294459
LOMBOK TENGAH,168949,420732
LOMBOK TIMUR,280981,427499
LOMBOK UTARA,70649,71090
SUMBAWA,105203,170642
SUMBAWA BARAT,29658,49220
NUSA TENGGARA TIMUR,2362041,305615
ALOR,85039,29185
BELU,81645,17333
ENDE,114267,32250
FLORES TIMUR,109779,21537
KOTA KUPANG,175697,22614
KUPANG,161312,15771
LEMBATA,54082,12985
MALAKA,80772,9282
MANGGARAI,148741,14090
MANGGARAI BARAT,111717,23984
MANGGARAI TIMUR,132218,16250
NAGEKEO,72220,6800
NGADA,76552,7323
ROTE NDAO,63937,5325
SABU RAIJUA,39001,1945
SIKKA,151863,17088
SUMBA BARAT,54172,5051
SUMBA BARAT DAYA,163936,7371
SUMBA TENGAH,34895,3115
SUMBA TIMUR,119364,10727
TIMOR TENGAH SELATAN,212969,14220
TIMOR TENGAH UTARA,117863,11369
KALIMANTAN BARAT,1707147,1260600
BENGKAYANG,107311,30352
KAPUAS HULU,89606,59967
KAYONG UTARA,25527,38467
KETAPANG,165417,124120
KOTA PONTIANAK,132252,234378
KOTA SINGKAWANG,64356,50212
KUBU RAYA,121318,217784
LANDAK,212790,33772
MELAWI,81462,64635
MEMPAWAH,54941,98271
SAMBAS,167749,135383
SANGGAU,202483,66512
SEKADAU,91433,36596
SINTANG,190502,70151
KALIMANTAN TENGAH,828596,536213
BARITO SELATAN,44002,33412
BARITO TIMUR,43148,23952
BARITO UTARA,46180,31428
GUNUNG MAS,54293,9089
KAPUAS,94776,98985
KATINGAN,66832,21280
KOTA PALANGKARAYA,88739,61007
KOTAWARINGIN BARAT,79039,61271
KOTAWARINGIN TIMUR,113985,93623
LAMANDAU,38051,10601
MURUNG RAYA,33518,29967
PULANG PISAU,49580,26006
SERUYAN,54438,24401
SUKAMARA,22015,11191
KALIMANTAN SELATAN,823219,1467906
BALANGAN,21466,54441
BANJAR,102150,216477
BARITO KUALA,65955,109147
HULU SUNGAI SELATAN,36579,95727
HULU SUNGAI TENGAH,29844,126159
HULU SUNGAI UTARA,34487,93906
KOTA BANJARBARU,57078,74929
KOTA BANJARMASIN,130419,229734
KOTABARU,91218,79961
TABALONG,44232,100566
TANAH BUMBU,91192,94564
TANAH LAUT,87881,106914
TAPIN,30718,85381
KALIMANTAN TIMUR,1093148,870043
BERAU,78128,49086
KOTA BALIKPAPAN,199541,165432
KOTA BONTANG,53707,44943
KOTA SAMARINDA,208704,231131
KUTAI BARAT,73836,17255
KUTAI KARTANEGARA,214586,172658
KUTAI TIMUR,124899,61875
MAHAKAM ULU,15886,2663
PASER,68350,81412
PENAJAM PASER UTARA,55511,43588
SULAWESI UTARA,1218303,359131
BOLAANG MONGONDOW,85007,62826
BOLAANG MONGONDOW SELATAN,17495,24879
BOLAANG MONGONDOW TIMUR,24030,24650
BOLAANG MONGONDOW UTARA,25710,24652
KEPULAUAN SANGIHE,70504,15744
KEPULAUAN SIAU TAGULANDANG BIARO,38255,7100
KEPULAUAN TALAUD,52558,5207
KOTA BITUNG,97896,21283
KOTA KOTAMOBAGU,28846,43848
KOTA MANADO,213963,52032
KOTA TOMOHON,59879,5365
MINAHASA,198803,22337
MINAHASA SELATAN,128882,16925
MINAHASA TENGGARA,62497,13294
MINAHASA UTARA,113978,18989
SULAWESI TENGAH,913753,705310
BANGGAI,126551,76903
BANGGAI KEPULAUAN,38739,30732
BANGGAI LAUT,19409,20526
BUOL,40555,41938
DONGGALA,99602,64381
KOTA PALU,76889,103539
MOROWALI,31857,47965
MOROWALI UTARA,49256,19421
PARIGI MOUTONG,144794,96704
POSO,96643,33378
SIGI,79217,62059
TOJO UNA-UNA,43916,48737
TOLITOLI,66325,59027
SULAWESI SELATAN,2117839,2807109
BANTAENG,30137,80248
BARRU,50102,55685
BONE,238497,189272
BULUKUMBA,79423,159552
ENREKANG,30914,96906
GOWA,152680,264054
JENEPONTO,46063,168477
KEPULAUAN SELAYAR,34375,42220
KOTA MAKASSAR,304926,417167
KOTA PALOPO,35909,57303
KOTA PARE PARE,39238,44684
LUWU,67939,147470
LUWU TIMUR,72000,82702
LUWU UTARA,70939,107787
MAROS,79315,126654
PANGKAJENE DAN KEPULAUAN,76282,114461
PINRANG,88023,140507
SIDENRENG RAPPANG,76633,99958
SINJAI,37408,107778
SOPPENG,83222,60042
TAKALAR,66973,108054
TANA TORAJA,117057,15986
TORAJA UTARA,117323,13887
WAJO,122461,106255
SULAWESI TENGGARA,554247,840029
BOMBANA,36292,47625
BUTON,34755,23143
BUTON SELATAN,23156,20171
BUTON TENGAH,22415,27020
BUTON UTARA,19687,19392
KOLAKA,43964,85625
KOLAKA TIMUR,30056,39944
KOLAKA UTARA,25937,50657
KONAWE,47383,97684
KONAWE KEPULAUAN,4806,17440
KONAWE SELATAN,65251,104702
KONAWE UTARA,16046,22666
KOTA BAU BAU,35486,43615
KOTA KENDARI,58676,118306
MUNA,40540,70196
MUNA BARAT,18441,26670
WAKATOBI,31356,25173
GORONTALO,369338,344798
BOALEMO,55662,33353
BONE BOLANGO,46549,55915
GORONTALO UTARA,35289,39094
GORONTALO.,133104,110632
KOTA GORONTALO,45908,70643
PAHUWATO,52826,35161
SULAWESI BARAT,474852,263345
MAJENE,59948,38512
MAMASA,84093,13932
MAMUJU,87841,54494
MAMUJU TENGAH,48668,19008
PASANGKAYU,55432,28826
POLEWALI MANDAR,138870,108573
MALUKU,591661,394493
BURU,40009,35919
BURU SELATAN,19806,19798
KEPULAUAN ARU,42018,8159
KOTA AMBON,120092,59945
KOTA TUAL,18911,17950
MALUKU BARAT DAYA,40471,4031
MALUKU TENGAH,114174,116425
MALUKU TENGGARA,46319,15230
MALUKU TENGGARA BARAT,54564,4886
SERAM BAGIAN BARAT,58817,70439
SERAM BAGIAN TIMUR,36480,41711
MALUKU UTARA,310585,344366
HALMAHERA BARAT,42787,21638
HALMAHERA SELATAN,49066,71480
HALMAHERA TENGAH,17481,12119
HALMAHERA TIMUR,27385,21661
HALMAHERA UTARA,70650,35615
KEPULAUAN SULA,10782,38535
KOTA TERNATE,32680,69532
KOTA TIDORE KEPULAUAN,24978,37632
PULAU MOROTAI,21260,18770
PULAU TALIABU,13516,17384
PAPUA,2363009,211032
ASMAT,4223,0
BIAK NUMFOR,65938,7154
BOVEN DIGOEL,27873,3824
DEIYAI,26366,6774
DOGIYAI,49237,14217
INTAN JAYA,73974,11311
JAYAPURA,66011,17083
JAYAWIJAYA,174681,495
KEEROM,29305,11487
KEPULAUAN YAPEN,4599,0
KOTA JAYAPURA,86288,27941
LANNY JAYA,187295,0
MAMBERAMO RAYA,23761,904
MAMBERAMO TENGAH,37592,0
MAPPI,56500,3724
MERAUKE,84484,26688
MIMIKA,71371,16201
NABIRE,67413,20926
NDUGA,94214,0
PANIAI,72588,27224
PEGUNUNGAN BINTANG,99240,2165
PUNCAK,106104,0
PUNCAK JAYA,183671,0
SARMI,18544,4076
SUPIORI,12181,739
TOLIKARA,230532,233
WAROPEN,31760,2407
YAHUKIMO,287829,5456
YALIMO,89435,3
PAPUA BARAT,437630,108924
FAKFAK,26558,10665
KAIMANA,20566,5309
KOTA SORONG,75142,31058
MANOKWARI,43192,12341
MANOKWARI SELATAN,16496,965
MAYBRAT,37446,1233
PEGUNUNGAN ARFAK,32134,386
RAJA AMPAT,27370,8869
SORONG,46837,20997
SORONG SELATAN,36132,6042
TAMBRAUW,23862,1479
TELUK BINTUNI,34931,7241
TELUK WONDAMA,16964,2339
KALIMANTAN UTARA,247352,105498
